location_id|city|state|country|postal_code
1|West James|Oklahoma|Kenya|17940
2|New Brandon|Oklahoma|Tunisia|39969
3|Lauraland|Idaho|Togo|47049
4|Deleonview|Kansas|Morocco|49201
5|Port Matthewtown|Indiana|Ukraine|09283
6|East Beckyville|Nebraska|Austria|69350
7|West Crystal|Colorado|Congo|31004
8|Jessicaside|Massachusetts|China|13456
9|Nicholasborough|Florida|Seychelles|63550
10|New Beverlyfort|Oregon|Israel|02845
11|South Lisa|Alabama|Serbia|42823
12|Hawkinsfort|Ohio|Moldova|35076
13|Martinezborough|Pennsylvania|Myanmar|82353
14|Ericville|Wyoming|Ghana|11343
15|Kelseyview|Virginia|Japan|23677
16|Lake Alexanderberg|Illinois|Portugal|20211
17|Velezstad|Minnesota|French Southern Territories|31512
18|North Monica|Utah|Svalbard & Jan Mayen Islands|39299
19|Heatherchester|Texas|Sao Tome and Principe|10155
20|West William|Illinois|Svalbard & Jan Mayen Islands|95231
21|East David|New Mexico|Australia|43425
22|New Travis|Utah|Bosnia and Herzegovina|85328
23|Karenton|Louisiana|Guam|28148
24|Bryanmouth|South Carolina|Dominica|42838
25|Davistown|Florida|Tokelau|30826
26|West Walterfurt|Colorado|Brazil|80057
27|East Aaronbury|Iowa|Mexico|97298
28|New Erika|Colorado|French Southern Territories|66358
29|Tinaville|Arkansas|Congo|88004
30|Cartermouth|Georgia|Saudi Arabia|66540
31|Markview|Georgia|North Macedonia|37010
32|Robertsonton|Vermont|Christmas Island|65068
33|South Nina|Hawaii|Mongolia|36538
34|Haleychester|Delaware|Egypt|30291
35|Harttown|Missouri|Congo|11391
36|Ashleytown|North Carolina|Jordan|75522
37|Laurenborough|Virginia|Saint Vincent and the Grenadines|65897
38|East Jacob|Montana|Brazil|57694
39|Sheltonborough|Vermont|Ethiopia|06591
40|Mitchellfort|Maine|Georgia|93821
41|Laurenmouth|Louisiana|Canada|17088
42|Robinchester|Georgia|Lithuania|25619
43|Port Paul|Illinois|Portugal|17913
44|Lindsayton|Arkansas|Samoa|30938
45|Nelsonmouth|Missouri|Saint Kitts and Nevis|65889
46|Watsonport|Kansas|Algeria|90576
47|Wallacestad|West Virginia|Bermuda|47888
48|Angelatown|South Dakota|Mauritius|07037
49|Andrewberg|Georgia|Malaysia|29406
50|North Todd|North Dakota|Saint Lucia|99103
